subtopic,chapter number,chapter name
Introduction to Number Systems,1,Number Systems
Irrational Numbers,1,Number Systems
Real Numbers and Their Decimal Expansions,1,Number Systems
Representing Real Numbers on the Number Line,1,Number Systems
Operations on Real Numbers,1,Number Systems
Laws of Exponents for Real Numbers,1,Number Systems
Summary,1,Number Systems
Introduction to Polynomials,2,Polynomials
Polynomials in One Variable,2,Polynomials
Zeros of a Polynomial,2,Polynomials
Remainder Theorem,2,Polynomials
Factorisation of Polynomials,2,Polynomials
Algebraic Identities,2,Polynomials
Summary,2,Polynomials
Introduction to Coordinate Geometry,3,Coordinate Geometry
Cartesian System,3,Coordinate Geometry
Plotting a Point in the Plane if its Coordinates are given,3,Coordinate Geometry
Summary,3,Coordinate Geometry
Introduction to Linear Equations in Two Variables,4,Linear Equations in Two Variables
Linear Equations,4,Linear Equations in Two Variables
Solution of a Linear Equation,4,Linear Equations in Two Variables
Graph of a Linear Equation in Two Variables,4,Linear Equations in Two Variables
Equations of Lines Parallel to x-axis and y-axis,4,Linear Equations in Two Variables
Summary,4,Linear Equations in Two Variables
Introduction to Euclid's Geometry,5,Introduction to Euclid's Geometry
Euclid's Definitions, Axioms and Postulates,5,Introduction to Euclid's Geometry
Equivalent Versions of Euclid's Fifth Postulate,5,Introduction to Euclid's Geometry
Summary,5,Introduction to Euclid's Geometry
Introduction to Lines and Angles,6,Lines and Angles
Basic Terms and Definitions,6,Lines and Angles
Intersecting Lines and Non-intersecting Lines,6,Lines and Angles
Pairs of Angles,6,Lines and Angles
Parallel Lines and a Transversal,6,Lines and Angles
Lines Parallel to the same Line,6,Lines and Angles
Angle Sum Property of a Triangle,6,Lines and Angles
Summary,6,Lines and Angles
Introduction,7,Triangles
Congruence of Triangles,7,Triangles
Criteria for Congruence of Triangles,7,Triangles
Some Properties of a Triangle,7,Triangles
Some More Criteria for Congruence of Triangles,7,Triangles
Inequalities in a Triangle,7,Triangles
Summary,7,Triangles
Introduction to Quadrilaterals,8,Quadrilaterals
Angle Sum Property of a Quadrilateral,8,Quadrilaterals
Types of Quadrilaterals,8,Quadrilaterals
Properties of a Parallelogram,8,Quadrilaterals
Another Condition for a Quadrilateral to be a Parallelogram,8,Quadrilaterals
The Mid-point Theorem,8,Quadrilaterals
Summary,8,Quadrilaterals
Introduction to Areas of Parallelograms and Triangles,9,Areas of Parallelograms and Triangles
Figures on the same Base and Between the same Parallels,9,Areas of Parallelograms and Triangles
Parallelograms on the same Base and between the same Parallels,9,Areas of Parallelograms and Triangles
Triangles on the same Base and between the same Parallels,9,Areas of Parallelograms and Triangles
Summary,9,Areas of Parallelograms and Triangles
Introduction to Circles,10,Circles
Circles and its Related Terms: A Review,10,Circles
Angle Subtended by a Chord at a Point,10,Circles
Perpendicular from the Centre to a Chord,10,Circles
Circle through Three Points,10,Circles
Equal Chords and their Distances from the Centre,10,Circles
Angle Subtended by an Arc of a Circle,10,Circles
Cyclic Quadrilaterals,10,Circles
Summary,10,Circles
Introduction to Constructions,11,Constructions
Basic Constructions,11,Constructions
Some Constructions of Triangles,11,Constructions
Summary,11,Constructions
Introduction to Heron's Formula,12,Heron's Formula
Area of a Triangle – by Heron's Formula,12,Heron's Formula
Application of Heron's Formula in finding Areas of Quadrilaterals,12,Heron's Formula
Summary,12,Heron's Formula
Introduction to Surface Areas and Volumes,13,Surface Areas and Volumes
Surface Area of a Cuboid and a Cube,13,Surface Areas and Volumes
Surface Area of a Right Circular Cylinder,13,Surface Areas and Volumes
Surface Area of a Right Circular Cone,13,Surface Areas and Volumes
Surface Area of a Sphere,13,Surface Areas and Volumes
Volume of a Cuboid,13,Surface Areas and Volumes
Volume of a Cylinder,13,Surface Areas and Volumes
Volume of a Right Circular Cone,13,Surface Areas and Volumes
Volume of a Sphere,13,Surface Areas and Volumes
Summary,13,Surface Areas and Volumes
Introduction to Statistics,14,Statistics
Collection of Data,14,Statistics
Presentation of Data,14,Statistics
Graphical Representation of Data,14,Statistics
Measures of Central Tendency,14,Statistics
Summary,14,Statistics
Introduction to Probability,15,Probability
Probability – an Experimental Approach,15,Probability
Summary,15,Probability
